Asset_Code,Descr,LocDesc,FeatureCode,Condition,Inspected,Status,Quantity,Age,Material,Other,Comments,Area,Department,Division,PersResp,Install yr,Useful Life,Estimated RUL,RplmtCst,ConditionBasis,ResidValue,DispDate,Risk,CnsqOfFail,DatLastAss,FollowUp,EditTag,Record Drawing,Replacement Year,CostLookup,Replace1,Replace2, Replace3, Replace4,Cost Factor,Unit Cost,Edit Tag
LO-PWS-TRN-TRNS-00001,Transmission Pipe,,TRNS,4.0,,active,355.0,,,,,,,,,,80.0,26.0,192587.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00002,Transmission Pipe,,TRNS,4.0,,active,300.0,,,,,,,,,,80.0,26.0,162750.0,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00003,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00004,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00005,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00006,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00007,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00008,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00009,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00010,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00011,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00012,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00013,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00014,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00015,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00016,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00017,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00018,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00019,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
LO-PWS-TRN-TRNS-00020,Transmission Pipe,,TRNS,4.0,,active,457.0,,,,,,,,,,80.0,26.0,247922.5,Detailed,,,,,,,,,,TRNS,2046.0,2126.0,2206.0,2286.0,,542.5,Original
